host_acceptance_rate,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_90,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,facebook,reviews,selfie,government_id, Washer, Stove, Fire extinguisher, Dryer, Shampoo, Paid parking off premises, Dishes and silverware, First aid kit, Hot water, Shower gel, Free street parking, Air conditioning, Heating, Toaster, Host greets you, Luggage dropoff allowed, Smoke alarm, Pocket wifi, Dedicated workspace, Drying rack for clothing, Freezer, Room-darkening shades, Microwave, Iron, Wine glasses, Coffee maker, Bed linens, Hangers, Wifi, Essentials, Dining table, Ethernet connection, Lock on bedroom door, Cleaning products, Cooking basics, Cable TV, Bathtub, Refrigerator, Elevator, Paid parking on premises, Breakfast, Oven, Carbon monoxide alarm, Long term stays allowed, Hair dryer, Kitchen
0.99,21,true,true,Embajadores,Centro,40.4107,-3.70253,Entire rental unit,Entire home/apt,4,1,1,2,113,30,1125,5,61,35,3,4.49,4.77,4.63,4.51,4.63,4.51,4.6,true,3,0.42,false,true,true,true,true,true,false,true,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,true,true,false,false,false,false,true,false,false,true,false,false,false,true,false,true,false,true
1,12,true,true,San Diego,Puente de Vallecas,40.39368,-3.66975,Entire rental unit,Entire home/apt,4,1,2,2,45,15,360,20,20,25,3,4.2,4.4,4.08,4.76,4.72,4,4.08,false,3,0.33,true,true,true,true,true,true,false,false,true,false,true,false,true,false,true,true,true,false,true,false,true,false,true,false,false,false,true,true,false,true,true,true,true,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,true
0.82,1,true,true,Embajadores,Centro,40.41212,-3.69983,Entire loft,Entire home/apt,4,1,1,2,93,4,30,13,58,178,3,4.75,4.87,4.8,4.82,4.82,4.7,4.79,false,1,1.61,true,true,false,true,true,true,false,false,true,true,true,true,true,true,false,true,true,true,false,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,true,false,false,true,false,true,true,true
0.75,0,true,true,Sol,Centro,40.41534,-3.70757,Entire serviced apartment,Entire home/apt,7,2,2,5,120,2,1125,15,71,164,5,4.78,4.85,4.8,4.93,4.94,4.94,4.78,false,8,1.55,false,true,true,true,true,true,false,true,false,false,true,true,true,false,false,true,true,false,true,true,false,false,true,false,false,true,true,true,false,true,true,true,true,true,false,false,false,false,true,true,true,true,true,true,false,false,false,true,true,true
0.75,0,true,true,Palacio,Centro,40.41826,-3.71244,Entire rental unit,Entire home/apt,6,2,2,4,126,2,1125,2,62,31,7,4.74,4.77,4.9,4.94,4.97,5,4.68,false,8,0.37,false,true,true,true,true,true,false,true,false,false,true,false,true,false,false,true,true,false,true,true,false,false,true,false,false,false,true,true,false,true,true,true,true,true,false,false,false,false,true,false,true,true,true,true,false,true,false,true,true,true
0.84,2,true,true,Acacias,Arganzuela,40.40449,-3.70463,Private room in rental unit,Private room,2,1,1,2,33,2,5,6,59,396,1,4.77,4.77,4.61,4.94,4.93,4.86,4.82,false,2,4.34,false,true,false,true,false,true,false,false,true,true,true,true,true,false,false,true,true,false,false,true,true,false,true,false,false,false,true,true,false,true,true,true,true,true,false,false,true,false,true,false,false,true,true,false,true,false,true,false,true,false
0.75,0,true,true,Arapiles,Chamberí,40.43698,-3.711,Entire rental unit,Entire home/apt,2,1,1,1,100,5,365,11,71,20,0,4.25,4.58,4.25,4.8,4.65,4.3,4.4,false,8,0.19,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,true
0.89,4,true,true,Universidad,Centro,40.42329,-3.70833,Entire rental unit,Entire home/apt,4,1,1,1,88,2,180,1,38,273,11,4.9,4.94,4.93,4.93,4.94,4.92,4.87,false,3,2.46,false,true,true,true,false,false,false,true,false,true,true,true,true,false,false,true,true,false,true,true,false,false,true,false,false,true,false,true,false,false,false,true,true,true,false,false,false,false,false,true,false,false,true,true,false,false,false,true,true,true
0.67,1,true,true,Universidad,Centro,40.42482,-3.71084,Entire rental unit,Entire home/apt,9,2.5,4,6,205,5,30,0,0,59,0,4.98,4.97,4.95,4.95,5,4.88,4.93,false,1,0.56,false,true,false,true,false,false,true,true,true,false,true,false,true,true,false,false,true,true,false,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,false,true,false,true,true,false,true,true,true
1,2,true,true,Sol,Centro,40.41429,-3.70649,Entire rental unit,Entire home/apt,4,1,1,2,52,3,260,2,16,443,6,4.86,4.85,4.93,4.94,4.95,4.97,4.85,true,2,4,false,true,false,true,true,true,true,false,true,false,true,true,true,false,false,true,true,false,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,false,true,false,true,false,false,false,true,true,true
1,5,true,true,Arcos,San Blas - Canillejas,40.42761,-3.6158,Private room in rental unit,Private room,2,1.5,1,2,31,10,1000,0,1,17,1,4.82,4.88,4.82,5,5,4.47,5,true,5,0.17,true,true,true,true,false,true,true,true,true,false,true,true,true,false,true,true,true,false,true,true,true,false,true,false,false,true,true,true,false,true,false,true,true,true,false,false,true,false,true,true,false,true,false,false,false,true,true,true,true,true
1,2,true,true,Palacio,Centro,40.41497,-3.70853,Entire rental unit,Entire home/apt,4,1,1,2,47,3,365,2,4,395,8,4.88,4.87,4.94,4.96,4.97,4.96,4.89,true,2,3.61,false,true,false,true,true,true,true,false,true,true,true,true,true,true,false,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,false,true,false,true,false,false,true,true,true,true
0.94,6,true,true,Sol,Centro,40.41805,-3.70848,Entire rental unit,Entire home/apt,4,1,1,2,89,2,120,0,0,177,4,4.83,4.84,4.89,4.98,4.97,4.92,4.81,false,5,1.61,false,true,true,true,false,true,false,false,true,false,true,false,true,false,false,true,true,false,true,true,false,false,true,false,false,false,true,true,false,true,false,false,true,true,false,false,false,false,true,false,true,false,true,true,false,true,false,true,true,true
1,5,true,true,Arcos,San Blas - Canillejas,40.4267,-3.61631,Private room in rental unit,Private room,2,1.5,1,1,31,10,1000,15,75,17,0,4.69,4.75,4.63,4.75,4.81,4.56,4.75,true,5,0.21,true,true,true,true,false,false,true,false,false,false,true,true,true,false,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,false,false,false,true,true,true,true
1,4,true,true,Castillejos,Tetuán,40.45989,-3.69472,Entire rental unit,Entire home/apt,8,2,3,5,166,2,364,0,0,92,0,4.76,4.61,4.85,4.88,4.89,4.64,4.69,true,4,0.84,false,true,false,true,false,false,true,false,true,false,true,true,true,true,false,false,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false,true,true,false,false,true,true,false,false,true,true,true,true,true
0.5,1,true,true,Palacio,Centro,40.40789,-3.71404,Entire rental unit,Entire home/apt,4,1,1,2,63,3,1125,0,59,91,0,4.75,4.85,4.8,4.98,4.9,4.84,4.71,false,1,0.94,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,true
1,1,true,true,Palacio,Centro,40.41166,-3.71007,Entire loft,Entire home/apt,2,1,1,2,69,2,1125,10,36,173,21,4.8,4.88,4.85,4.95,4.93,4.96,4.73,true,1,1.59,false,true,true,true,true,true,false,false,true,true,true,false,true,false,false,true,true,false,false,true,false,false,true,false,false,false,true,true,false,true,true,true,true,true,false,false,false,false,true,false,false,true,true,true,false,true,true,true,true,true
1,8,true,true,Embajadores,Centro,40.40997,-3.70155,Entire rental unit,Entire home/apt,2,1,1,1,54,3,1125,12,12,218,6,4.47,4.64,4.75,4.81,4.83,4.5,4.48,true,8,1.99,false,true,true,true,false,true,false,false,true,true,true,true,true,false,false,true,true,false,true,false,true,true,false,false,false,false,true,true,false,true,true,true,true,true,false,false,false,false,true,false,false,true,false,false,false,true,false,true,true,true
0.93,13,true,true,Embajadores,Centro,40.40869,-3.6975,Entire rental unit,Entire home/apt,2,1,1,1,87,3,20,20,80,179,19,4.8,4.94,4.93,4.89,4.97,4.77,4.82,false,7,1.92,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,false,true,true,false,false,true,false,false,true,true
0.43,2,true,true,Costillares,Ciudad Lineal,40.47731,-3.66659,Private room in rental unit,Private room,1,1,1,1,22,1,1125,8,66,23,3,4.91,4.91,4.87,4.96,4.91,4.65,4.91,false,2,0.33,false,true,false,true,true,true,true,false,true,false,true,true,true,false,true,false,false,false,false,true,false,true,true,false,false,false,true,true,false,true,true,true,true,true,false,false,false,false,true,false,false,true,true,false,true,true,false,true,true,true
0.99,19,true,true,Palacio,Centro,40.41027,-3.7122,Entire rental unit,Entire home/apt,6,3.5,3,4,220,1,1125,11,61,346,16,4.78,4.78,4.87,4.85,4.85,4.91,4.73,true,15,3.24,false,true,false,true,true,true,false,true,false,false,true,false,true,false,false,true,true,false,false,false,false,false,false,false,false,false,true,true,false,true,true,true,true,true,false,false,false,false,true,true,false,true,false,false,false,true,false,true,true,true
